size;number;sumbits binary;sumbits huff1;cr huff1;sumbits huff2;cr huff2;sumbits huff3;cr huff3;sumbits bz2+bin;sumbits bz2+huff1;cr bz2+huff1;sumbits bz2+huff2;cr bz2+huff2;sumbits bz2+huff3;cr bz2+huff3;sumbits_qasm;sumbits_bz2_qasm;fidelity;circ_depth
2;1;47838;45740;0.9561436514904469;21243;0.4440612065721811;21320;0.4456708056356871;14816;14072;0.9497840172786177;14712;0.9929805615550756;14824;1.0005399568034556;1094808;15264;0.9839787053577519;8481
2;2;45648;43616;0.9554854539081669;20074;0.43975639677532424;20154;0.44150893796004204;14136;14696;1.039615166949632;14424;1.0203735144312394;14496;1.0254668930390491;1044488;14280;0.9965155635889738;7835
2;3;46821;45006;0.9612353431152688;20486;0.4375387112620405;20550;0.43890561927340294;14128;14720;1.0419026047565119;14136;1.0005662514156286;14168;1.0028312570781428;1072808;14632;0.9966482387212804;8054
2;4;45879;43829;0.9553172475424486;20521;0.4472852503323961;20620;0.4494431003291266;14480;15000;1.0359116022099448;14688;1.014364640883978;15088;1.0419889502762432;1049832;14688;0.9937296736373513;8086
2;5;42639;40738;0.955416402823706;19056;0.4469147963132344;19160;0.44935387790520415;13832;14384;1.0399074609600925;13792;0.9971081550028918;13856;1.001735106998265;975656;14264;0.9974315258629997;8203
2;6;47103;45215;0.9599176273273464;20418;0.4334755748041526;20489;0.4349829097934314;14344;14656;1.0217512548800893;14632;1.0200780814277748;14600;1.0178471834913552;1078920;14584;0.9956251224294975;8248
2;7;43629;41678;0.955282037177107;19613;0.44954044328313736;19684;0.4511678012331248;13952;14400;1.0321100917431192;14160;1.014908256880734;14168;1.0154816513761469;998296;14392;0.9990959592745181;7598
2;8;46467;44431;0.9561839585081886;20764;0.4468547571394753;20843;0.4485548884154346;14400;14912;1.0355555555555556;14568;1.0116666666666667;14456;1.0038888888888888;1063432;14528;0.9947343878846969;8195
2;9;46743;44574;0.9535973300815095;20790;0.44477247930171365;20902;0.44716855999828853;14824;14088;0.9503507825148408;15320;1.0334592552617377;15224;1.0269832703723691;1069144;15304;0.9937157698190381;8135
2;10;45498;43527;0.9566794144797574;20299;0.44615147918589826;20371;0.44773396632819024;13968;13224;0.9467353951890034;14584;1.0441008018327607;14680;1.0509736540664376;1041416;14536;0.9988360828241353;7983
2;11;46692;44832;0.9601644821382678;20528;0.439647048744967;20631;0.44185299408892315;14392;14800;1.028349082823791;14352;0.9972206781545303;14808;1.0289049471928848;1069576;15088;0.9981997900218234;8000
2;12;44229;42386;0.9583305071333288;20126;0.4550408103280653;20220;0.4571661127314658;13768;14288;1.0377687391051713;14112;1.0249854735618826;14152;1.0278907611853574;1012824;14208;0.9962324397346816;7696
2;13;45390;43381;0.9557391495924212;20196;0.4449438202247191;20282;0.44683851068517294;14552;15256;1.0483782297965916;14464;0.9939527212754261;14536;0.9989004947773502;1038696;14976;0.9958027512283302;8052
2;14;45615;43509;0.953830976652417;20563;0.4507946947276115;20692;0.4536227118272498;14624;13936;0.9529540481400438;14912;1.0196936542669583;14896;1.0185995623632385;1043400;15136;0.9922557464143273;8082
2;15;45678;43894;0.960943999299444;20169;0.4415473532116117;20273;0.4438241604273392;13944;13168;0.9443488238668961;14048;1.0074584050487665;14136;1.0137693631669535;1046584;14456;0.9950212834965863;7914
2;16;45114;43274;0.9592144345436007;20174;0.4471782595203263;20298;0.44992685197499666;14216;14808;1.0416432189082723;14616;1.028137310073157;14656;1.0309510410804728;1033272;14936;0.9988842074661547;7832
2;17;45984;44092;0.9588552540013918;20913;0.4547886221294363;21085;0.45852905358385526;14208;14664;1.0320945945945945;14400;1.0135135135135136;14336;1.009009009009009;1053144;14480;0.9960839721912145;7928
2;18;45084;43140;0.9568804897524621;20374;0.4519119865140626;20467;0.45397480259071954;13792;14096;1.0220417633410672;14152;1.0261020881670533;14200;1.0295823665893271;1032024;14384;0.9934892270464032;8106
2;19;45768;43875;0.9586392239119035;20488;0.44764901241041777;20568;0.44939695857367595;13928;13144;0.9437105112004595;14112;1.013210798391729;14304;1.0269959793222285;1048072;14312;0.996851934049954;7799
2;20;47556;45523;0.9572503995289764;20965;0.44084868365716207;21060;0.4428463285389856;14216;14824;1.0427687113111987;14192;0.9983117613956106;14376;1.0112549240292628;1088680;14552;0.9913840597255427;8257
3;1;282702;273755;0.9683518333793182;117196;0.414556670982165;117585;0.41593267822654245;52360;49728;0.9497326203208556;52904;1.0103896103896104;53128;1.0146676852559207;4852968;56912;0.9855270464117472;41537
3;2;286218;277036;0.9679195578195641;117008;0.4088072727780922;117426;0.4102676980483408;52960;50312;0.95;53344;1.0072507552870091;53600;1.012084592145015;4912520;57072;0.9731016022143767;42069
3;3;287882;278436;0.9671879450608235;119494;0.4150797896360314;119830;0.41624693450788863;52472;50264;0.9579204146973624;52616;1.0027443207806068;52968;1.0094526604665346;4939992;56528;0.9664703407983977;42161
3;4;288354;279022;0.9676370017409157;118062;0.4094342370835848;118456;0.41080061313524346;52624;49528;0.9411675281240499;53544;1.0174825174825175;53880;1.023867436910915;4948872;55880;0.9861051473720758;41978
3;5;290410;280966;0.9674804586618918;118639;0.40852243380048897;118948;0.4095864467477015;52912;50592;0.9561536135470214;53416;1.0095252494708196;53480;1.0107348049591776;4983768;56904;0.9786045444026417;42281
3;6;290618;281415;0.9683330007088343;117876;0.4056046081109911;118261;0.4069293712020591;53544;54736;1.0222620648438667;54800;1.023457343493202;54864;1.024652622142537;4988952;57168;0.9792558109824692;42625
3;7;285358;276489;0.9689197429194205;116579;0.40853594432257023;116930;0.40976597817478394;51528;48896;0.9489209750038814;52232;1.0136624747709984;52504;1.0189411582052477;4899304;55304;0.9783296892351953;41820
3;8;285198;275783;0.9669878470396006;117212;0.41098464926121503;117674;0.41260457646968074;53248;50584;0.9499699519230769;53792;1.0102163461538463;53936;1.0129206730769231;4893608;56360;0.9875222360021774;41543
3;9;288350;279288;0.9685729148604127;117866;0.408760187272412;118212;0.4099601179122594;52528;49280;0.9381663113006397;53352;1.015686871763631;54008;1.0281754492841912;4950264;56280;0.9793170197412254;42457
3;10;284714;275596;0.9679748800550728;116355;0.408673265101119;116763;0.4101062820936097;53256;50168;0.9420159230884783;54624;1.0256872465074358;54640;1.0259876821391016;4886888;56520;0.988297386252686;41489
3;11;282354;273773;0.9696090722993123;114562;0.40573889514580985;115051;0.40747076365130297;51792;49248;0.9508804448563485;51840;1.0009267840593141;52392;1.0115848007414272;4848792;55904;0.9889887573298138;41729
3;12;294226;284559;0.9671443040383922;119541;0.4062897228660961;120017;0.40790752686710213;53160;50192;0.9441685477802859;54280;1.021068472535741;54296;1.0213694507148232;5048984;57704;0.9898798433883179;43164
3;13;291882;282909;0.9692581248586758;117771;0.40348839599564207;118172;0.4048622388499462;51208;48768;0.9523511951257616;51832;1.012185596000625;52272;1.020778003436963;5011896;55896;0.9929938603325692;42835
3;14;282830;273790;0.9680373369161688;116030;0.41024643778948483;116425;0.41164303645299294;52264;49256;0.9424460431654677;52640;1.0071942446043165;52616;1.0067350375019133;4854776;56096;0.98445340336133 c;41163
3;15;281278;272608;0.9691764019937571;115158;0.40940990763586205;115589;0.41094219953213545;51000;48008;0.9413333333333334;51432;1.008470588235294;51760;1.0149019607843137;4829720;55120;0.9860339677425156;40352
3;16;284282;275113;0.9677468147825047;117698;0.41401847461323615;118163;0.4156541743761476;53064;49912;0.940600030152269;54424;1.0256294286145033;54520;1.0274385647519977;4879128;57000;0.9900261330534339;41295
3;17;284962;275647;0.9673114309978172;116777;0.40979849944904934;117194;0.41126185245752067;52960;50240;0.9486404833836858;54480;1.0287009063444108;54696;1.0327794561933534;4890264;56632;0.9904939449194745;41347
3;18;289590;280408;0.9682931040436479;118303;0.40851894057115234;118729;0.40998998584205254;52544;49904;0.9497563946406821;53176;1.0120280146163216;53264;1.013702801461632;4971000;56024;0.9825473505344814;42377
3;19;281826;273091;0.9690056985515886;115934;0.4113672975523905;116313;0.41271209895467414;52112;49024;0.9407430150445195;52248;1.0026097635861222;52504;1.0075222597482345;4838968;55840;0.9806689011967359;41581
3;20;285746;276830;0.9687974634815536;117178;0.4100774813995646;117667;0.4117887914441497;52888;50416;0.9532597186507337;53680;1.0149750415973378;53992;1.0208743004084102;4905800;57112;0.9864160353751013;42050
4;1;1273266;1232243;0.9677812805808056;524665;0.4120623656015318;526204;0.41327106826067767;177144;167320;0.9445422932755273;175072;0.9883033012690241;176992;0.9991419410197353;21852504;243464;0.9388517010606504;194811
4;2;1277334;1236632;0.9681351940839279;524291;0.4104572492394315;525850;0.4116777600846764;175744;165792;0.9433721777130372;174432;0.9925345957756737;174448;0.9926256372906045;21924312;243016;0.9296647266428792;193147
4;3;1265562;1225879;0.9686439700307057;522447;0.41281817880119664;524026;0.4140658458455611;178680;169328;0.9476606223416163;177816;0.9951645399597046;178136;0.9969554510857399;21725688;244768;0.9446606871359303;192792
4;4;1260098;1219986;0.9681675552218955;517681;0.41082598337589615;519145;0.4119877977744588;174976;166120;0.9493873445501098;176912;1.0110643745427945;176960;1.0113386978785661;21629064;238056;0.9166669667218383;191081
4;5;1269450;1229988;0.9689140966560321;521761;0.411013431013431;523150;0.41210760565599275;182168;172296;0.9458082648983356;181464;0.9961354354222476;182712;1.002986254446445;21794152;243352;0.9382257739989802;192178
4;6;1278278;1237642;0.9682103579972432;523221;0.40931706561483494;524722;0.4104913015791557;175896;166512;0.9466502933551644;175208;0.9960885978077955;176016;1.0006822213125939;21941176;242632;0.9320641258138421;193946
4;7;1277914;1237314;0.9682294739708619;524710;0.4105988352893857;526367;0.4118954796645158;177808;167888;0.9442094843876541;178016;1.0011698011338073;178552;1.004184288670926;21935208;245384;0.930277359367068;195134
4;8;1262482;1221975;0.9679147900722544;519802;0.411730226648776;521455;0.41303955224708155;178744;168824;0.9445016336212684;178520;0.9987468110817705;178008;0.9958823792686747;21668120;241760;0.9325499648094702;194374
4;9;1264314;1224724;0.9686865762777285;521142;0.41219348990836135;522683;0.4134123326958335;177368;168376;0.9493031437463353;176536;0.9953091876775969;178016;1.0036534211357178;21704456;241152;0.939582689856841;191909
4;10;1281522;1240848;0.9682611769442897;522789;0.40794383553306146;524322;0.4091400693862454;178648;169128;0.9467108503873539;179528;1.0049258877793201;177520;0.9936859074828713;21997000;246912;0.9098456202142524;194261
4;11;1273710;1234062;0.9688720352356502;521612;0.40952179067448635;523159;0.41073635285897103;171064;162352;0.9490716924659777;170032;0.9939671701819203;170840;0.9986905485666183;21867320;240440;0.9211249475582763;192703
4;12;1266082;1226528;0.9687587375857172;518590;0.40960222165704907;520235;0.41090150558968536;174608;165272;0.9465316594886832;173024;0.9909282507101622;174816;1.0011912398057363;21735592;241128;0.9253883620566716;192943
4;13;1274610;1234303;0.968376993747107;524209;0.41127011399565355;525769;0.412494017777987;177472;168232;0.9479354489722323;179088;1.0091056617381897;179536;1.0116300036062027;21879256;246096;0.9207854840201636;194244
4;14;1270778;1230862;0.9685893208727252;524676;0.4128777803833557;526287;0.4141455077125981;178520;169096;0.9472103965942191;179240;1.0040331615505265;179536;1.0056912390768542;21814792;245408;0.9234534510956063;193072
4;15;1266762;1226658;0.9683413300998924;523224;0.41304049221558586;524606;0.4141314627372782;181136;171016;0.9441303771751612;182336;1.0066248564614433;180504;0.9965109089303065;21744296;243512;0.9354448232141003;193697
4;16;1259342;1219735;0.9685494488391557;519479;0.4125003374778257;520985;0.4136962000790889;176328;166304;0.9431513996642621;177904;1.0089378884805589;177920;1.009028628465133;21618216;239424;0.9353714982518434;191323
4;17;1283670;1243703;0.9688650509866243;522960;0.4073944238005095;524447;0.40855282120794284;176096;166040;0.9428947846629111;176576;1.0027257859349445;176648;1.0031346538251862;22037960;242552;0.912748252898298;195829
4;18;1265762;1225733;0.9683755713949384;520824;0.41147071882391795;522197;0.4125554409122726;179376;170360;0.9497368655784497;181008;1.009098207118009;181104;1.0096333957720096;21727768;244416;0.943662811555624;191480
4;19;1262594;1222821;0.9684989790859136;520564;0.4122972230186426;521925;0.4133751625621538;176256;166656;0.9455337690631809;175096;0.993418663761801;176216;0.9997730573710966;21674040;241664;0.9386363271385029;190833
4;20;1271014;1231605;0.9689940472724927;522608;0.41117407046657234;524109;0.41235501733261787;177784;168688;0.9488367907123251;179104;1.0074247401340952;179440;1.0093146739864105;21821800;242784;0.9384879868776403;192670
5;1;6741160;6568970;0.9744569183938669;2617830;0.38833524200582686;2625559;0.3894817805837571;715136;657448;0.9193328262036872;611056;0.854461249328799;617440;0.8633882226597458;92558904;1021664;0.6741946664407272;844710
5;2;6748870;6579268;0.9748695707577713;2622191;0.38853778484398127;2629713;0.38965234179944197;720592;663168;0.9203099673601706;630600;0.8751137953238448;631232;0.8759908519661611;92679704;1028816;0.7371238690552939;842162
5;3;6725120;6555178;0.9747302650361629;2612274;0.38843529929577464;2619899;0.3895691080605253;714096;654584;0.9166610651789115;620216;0.8685330823866819;620752;0.8692836817458717;92348920;1018456;0.7427591318063722;840746
5;4;6742090;6571445;0.9746895992192333;2618752;0.3884184281135375;2626127;0.38951230256493163;719424;659232;0.9163330664531625;623584;0.8667823147406815;628224;0.8732319188684281;92580520;1021072;0.7048613740468461;842314
5;5;6704070;6535154;0.974803962369128;2609432;0.3892310193658479;2616835;0.39033527394552864;716440;660976;0.9225838869968176;625960;0.8737088939757691;625808;0.8734967338507063;92063192;1022688;0.7425855365545251;839299
5;6;6722210;6551555;0.9746132596274142;2609342;0.38816728427109537;2617039;0.3893122946173952;712640;654608;0.9185675797036372;613392;0.8607319263583296;616840;0.8655702739110912;92305256;1021704;0.7165988508752039;843014
5;7;6699655;6529882;0.9746594414189984;2599215;0.3879625144876863;2606555;0.38905809328987834;709592;652096;0.918973156405371;619584;0.8731552779625474;620024;0.8737753525969854;91996856;1019504;0.7493093107798473;837164
5;8;6702975;6535036;0.9749456025123173;2602433;0.3882504410355104;2610247;0.3894161920639716;716144;656776;0.9171004714135704;628480;0.8775888648093121;628504;0.8776223776223776;92051512;1022888;0.7125038870661056;837949
5;9;6754850;6584516;0.9747834518901234;2614612;0.3870718076641228;2622017;0.3881680570256926;716912;655320;0.9140870846073158;621144;0.8664159617916843;624440;0.87101345771866;92758648;1024392;0.7185234565825281;845094
5;10;6751340;6582619;0.9750092574214897;2615571;0.38741509093009685;2623070;0.3885258333901122;715968;654560;0.9142308036113346;623816;0.8712903369983016;625104;0.8730893000804505;92718184;1025808;0.7153168287571658;844858
5;11;6721045;6550222;0.9745838630748641;2607403;0.3879460708862982;2614608;0.3890180768020449;714600;656800;0.9191155891407781;624088;0.873338930870417;624040;0.8732717604254128;92286808;1019904;0.7076485793271903;839222
5;12;6734525;6564596;0.9747674854574004;2615905;0.38843199780236914;2623586;0.3895725385235039;713648;657272;0.9210030715422729;618912;0.8672510817658005;620376;0.8693025132838599;92479384;1025160;0.7621887702020747;845158
5;13;6727950;6558474;0.9748101576260227;2609750;0.3878967590425018;2616935;0.3889646920681634;719000;660232;0.9182642559109875;628512;0.8741474269819194;628848;0.874614742698192;92390232;1023840;0.7339479432150646;842899
5;14;6704050;6532849;0.9744630484557842;2612233;0.3896499876940059;2619828;0.3907828849725166;714384;657632;0.9205581312011467;621888;0.8705234159779615;621712;0.8702770498779367;92049192;1024952;0.7254217607077695;840778
5;15;6686680;6518187;0.9748016953106774;2595761;0.38819877727063357;2603226;0.38931517584212194;711408;654024;0.9193374266243843;622920;0.8756156804534106;622592;0.8751546229449205;91823016;1019296;0.669039292563496;837626
5;16;6714050;6544850;0.9747991152880899;2611167;0.38891086601976455;2618518;0.39000573424386176;713328;656744;0.9206760424377005;617992;0.8663504026198326;620112;0.8693223874571024;92198360;1016744;0.7349888870654487;840584
5;17;6704100;6535452;0.974844050655569;2601965;0.38811548157097897;2609907;0.38930012977133394;714440;656576;0.9190078942948323;620752;0.8688651251329713;620848;0.8689994961088405;92063320;1023816;0.6993195945597248;839558
5;18;6693405;6524157;0.9747142149623398;2603313;0.38893702084365134;2610983;0.39008292490892155;712720;653792;0.9173195644853519;618528;0.8678415085868223;620120;0.8700752048490291;91911880;1020624;0.7468783274930061;839136
5;19;6697715;6528349;0.97471286849321;2605458;0.3890069971624651;2613031;0.39013768128384085;718448;661528;0.9207736676836737;626208;0.8716121417277242;625024;0.8699641449346369;91971496;1029080;0.6928147847979872;838619
5;20;6752130;6581848;0.9747809950341596;2618933;0.38786768027274354;2626306;0.3889596319976067;726232;666048;0.9171284107557915;633032;0.8716663545533658;633232;0.8719417486423071;92721144;1029800;0.6768688792206661;841732
6;1;27654054;26955732;0.974747933883401;10754869;0.38890749978285283;10784679;0.3899854610828488;2858928;2653992;0.9283171874212992;2434944;0.8516982589278219;2447184;0.8559795839559443;379742040;4191736;0.24981550302723812;3510864
6;2;27613164;26915522;0.9747351661692952;10742572;0.38903806894421805;10772871;0.3901353354508741;2877552;2661872;0.925047401402303;2449240;0.8511540364865692;2455296;0.8532586031460074;379177912;4193600;0.2809528417184058;3509684
6;3;27719944;27021277;0.9747955118524049;10765582;0.3883695436036956;10795815;0.3894602023727032;2879688;2664376;0.9252307888910187;2460512;0.8544370084536936;2460424;0.8544064495875943;380655080;4195512;0.2614224046816662;3520704
6;4;27586989;26891845;0.974801744402044;10720143;0.38859416661963364;10749548;0.38966006765000705;2870872;2655200;0.9248757868689373;2431968;0.8471182274932494;2436264;0.8486146369465445;378831976;4192456;0.2744287972770138;3506572
6;5;27690039;26993836;0.9748572762934714;10745676;0.3880700926423397;10775885;0.38916106257560706;2878584;2659288;0.923818099454454;2433080;0.8452350183284559;2446088;0.8497539067819456;380252120;4190128;0.28464718125400457;3517677
6;6;27662539;26965500;0.9748020599266033;10739869;0.38824595963515857;10770897;0.3893676209548227;2883848;2667096;0.9248393119193522;2442656;0.8470127413095281;2457136;0.8520338103811297;379868248;4203088;0.24611315942951384;3511399
6;7;27620809;26918844;0.9745856466405456;10740341;0.3888496169681344;10769962;0.3899220330584814;2874616;2661928;0.9260116829517403;2432648;0.8462514645434381;2433120;0.8464156603873352;379262776;4195080;0.28070071211356945;3514031
6;8;27697524;26998585;0.9747652894894143;10759193;0.3884532422464911;10789185;0.389536082719885;2886800;2675232;0.9267119301648885;2456648;0.8509934875987253;2470104;0.8556547041707081;380342952;4191008;0.2465230850410147;3514921
6;9;27693599;26991155;0.9746351494437396;10756050;0.3883948056011066;10785711;0.3894658473245027;2889296;2678136;0.9269164530044689;2452344;0.8487686965959874;2466456;0.8536529313715175;380270728;4205608;0.2481068458635707;3515486
6;10;27696334;26994714;0.9746674054407345;10750252;0.3881471100110217;10779838;0.38921533802993563;2884936;2667208;0.9245293483113664;2462104;0.8534345302634097;2464432;0.8542414805735725;380310712;4198712;0.23151467546109952;3526839
6;11;27614559;26917635;0.9747624432459704;10720448;0.388217244389092;10750563;0.3893077923134677;2868112;2642360;0.9212889873198815;2428512;0.8467284401724898;2445776;0.8527477309114846;379204360;4179064;0.27434512481274465;3506834
6;12;27691814;26998141;0.9749502506408573;10756431;0.3884335999079006;10786411;0.38951623031990606;2883104;2668280;0.9254886400213104;2463536;0.8544735118816387;2462632;0.8541599609309966;380289448;4192160;0.2586917202117136;3521121
6;13;27684089;26986248;0.9747927049360374;10739460;0.3879289652623209;10769319;0.3890075270311405;2879672;2666184;0.9258637789303782;2443208;0.8484327381729586;2449696;0.8506857725463177;380162776;4201032;0.2811016345155818;3517638
6;14;27671479;26971371;0.9746992923652545;10747091;0.38838151730162307;10776857;0.3894572097140164;2890360;2666944;0.922703054290815;2465480;0.8530010102547779;2465168;0.8528930652237091;379975624;4196088;0.2574705623849593;3512666
6;15;27655694;26958309;0.9747833122538888;10740974;0.3883820091443014;10770890;0.3894637393659331;2894080;2683520;0.9272445820433437;2470704;0.8537096417514374;2476736;0.8557938965059708;379769928;4213496;0.2114463773792387;3507148
6;16;27635299;26938331;0.9747797915991429;10730038;0.3882729113949518;10760804;0.3893861977031622;2881640;2663504;0.9243014394580864;2443896;0.8480920586888022;2460736;0.8539359531377966;379491400;4193744;0.26482716372243625;3515601
6;17;27625294;26929449;0.9748113087954828;10724870;0.38822645652205545;10755186;0.3893238566076437;2884672;2669632;0.9254542630843299;2458616;0.8523034854569255;2467512;0.8553873715971868;379357864;4188112;0.2860421473220396;3502104
6;18;27644389;26944729;0.9746907048660037;10748987;0.3888306954442003;10778727;0.38990650146038675;2885904;2671632;0.925752207973654;2452768;0.8499132334270302;2456824;0.8513186855834428;379601896;4207488;0.25259077097398336;3508451
6;19;27609694;26911494;0.9747117805796761;10733925;0.38877377634101995;10763628;0.38984959413168435;2868872;2656808;0.9260810520650625;2446984;0.8529428988117979;2450496;0.8541670733305634;379129720;4191608;0.2616643285487557;3508340
6;20;27618919;26919845;0.9746885821273454;10728784;0.3884577814214959;10758844;0.3895461658003342;2876832;2661656;0.9252038353299741;2454440;0.8531746031746031;2458208;0.8544843772594298;379253512;4195080;0.3264867064457797;3506993